Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
CEJUSC  OIAPOQUE;E-MAIL;(96) 3521- 2576;https://www.tjap.jus.br/portal/;;;68980-000;Avenida Barão do Rio Branco;17;Centro; Oiapoque;AP;;CEJUSC
CEJUSC MANAUS ;E-MAIL;(92) 3303-5246 / 3303-5125;https://www.tjam.jus.br/;;;;Avenida Jornalista Umberto Calderaro Filho ;;;Manaus ;AM;Fórum Ministro Henoch Reis, (Antiga Paraíba);CEJUSC
CEJUSC CAMAÇARI ;E-MAIL;(71) 3621-8736;http://www5.tjba.jus.br/portal/;cejusc.camacari@tjba.jus.br;;42800-912;Rua do Contorno Contorno ;S/N;Dois de Julho;Camaçari ;BA;;CEJUSC
CEJUSC FEIRA DE SANTANA;E-MAIL;;http://www5.tjba.jus.br/portal/;;;;;;;Feira De Santana ;BA;(ANTIGO NÚCLEO DE CONCILIAÇÃO);CEJUSC
CEJUSC IRECÊ - FÓRUM DANTAS JUNIOR;E-MAIL;(74) 3641-3224;http://www5.tjba.jus.br/portal/;cejusc.fai.irece@gmail.com;;44900-000;Avenida Sol Poente ;S/N;Asa Norte;Irecê;BA;3ª Andar;CEJUSC
CEJUSC ITAMBÉ ;E-MAIL;;http://www5.tjba.jus.br/portal/;;;;;;;Itambé ;BA;;CEJUSC
CEJUSC ITAPEBI;E-MAIL;(73) 3286-8360 e 3286-1893;http://www5.tjba.jus.br/portal/;;;;Rua Jesuíno de Almeida Costa;202;;Itapebi;BA;;CEJUSC
CEJUSC JEQUIÉ ;E-MAIL;;http://www5.tjba.jus.br/portal/;;;;;;;Jequié ;BA;;CEJUSC
CEJUSC JUAZEIRO (ANTIGO NÚCLEO DE CONCILIAÇÃO) ;E-MAIL;;http://www5.tjba.jus.br/portal/;;;;;;;Juazeiro ;BA;;CEJUSC
CEJUSC OLINDINA;E-MAIL;(75) 3436-1030 - 3436-1213;http://www5.tjba.jus.br/portal/;;;48-470-000;Praça 14 de Agosto;104;;Olindina;BA;;CEJUSC
CEJUSC PARIPIRANGA;E-MAIL; (75) 3279-2159;http://www5.tjba.jus.br/portal/;;;48430-000;Praça Pedro Rabelo de Matos ;S/N;Centro;Paripiranga;BA;;CEJUSC
CEJUSC POÇÕES;E-MAIL;(77) 3431-1005 / 2019;http://www5.tjba.jus.br/portal/;balcaodejusticapocoes@hotmail.com;;45260-000;Rua da Bandeira ;70;Centro;Poções;BA;;CEJUSC
CEJUSC SÃO FRANCISCO DO CONDE;E-MAIL;(71) 3651-1078 - 3651-1455 - 36512063;http://www5.tjba.jus.br/portal/;;;43900-000;Rua do Asfalto;9;Centro;São Francisco Do Conde;BA;;CEJUSC
CEJUSC SIMÕES FILHO;E-MAIL;(71) 3396-1388 - 3396-9601 - 33969075;http://www5.tjba.jus.br/portal/;;;43700-000;Avenida Altamirando de Araújo Ramos;S/N;;Simões Filho;BA;Praça da Bíblia;CEJUSC
CEJUSC ALAGOINHAS;E-MAIL;(75) 3422-8900;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;48030-530;Rua Manoel Romão;S/N;Alagoinhas Velha;Alagoinhas;BA;(NPJ-UNIRB), CEPNPJ da UNIRB;CEJUSC
CEJUSC BURITIRAMA;E-MAIL;(77) 3442-2134 e 77-3442-2120;http://www5.tjba.jus.br/portal/;pmburitirama@yahoo.com.br;;;Avenida Buriti;291;Centro;Buritirama;BA;;CEJUSC
CEJUSC BRUMADO – (PRÉDIO DOS JUIZADOS ESPECIAIS);E-MAIL;(77)  3441-5322 - 3441-2375;http://www5.tjba.jus.br/portal/;;;34412-000;Rua Rio de Contas;3;Nobre;Brumado ;BA;;CEJUSC
CEJUSC CACHOEIRA;E-MAIL;;http://www5.tjba.jus.br/portal/;cejusccachoeira@outlook.com;;;Rua Virgílio Damásio;15;Jardim Grande;Cachoeira;BA;nº E, (antiga Casa do Juiz);CEJUSC
CEJUSC CAMACÃ (ANTIGA CASA DO JUIZ);E-MAIL;(73) 3283-1906 - 3283-2013 - 3283-1004;http://www5.tjba.jus.br/portal/;;;;Rua Everaldo Figueiredo dos Anjos;182;Antonio Elias Ribeiro;Camacã ;BA;;CEJUSC
CEJUSC CAMPO ALEGRE DE LOURDES;E-MAIL;(74) 3533-2704;http://www5.tjba.jus.br/portal/;conciliarcal@hotmail.com;;;Rua Tiradentes ;279;Centro;Campo Alegre De Lourdes;BA;;CEJUSC
CEJUSC CANDEIAS;E-MAIL;(71) 3601-5379;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;43800-000;Avenida Antônio Peterson ;S/N;Centro;Candeias;BA;;CEJUSC
CEJUSC CÍCERO DANTAS;E-MAIL;(75) 3278-2715;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;48410-000;Rua Dr Orlando Teixeira ;S/N;;Cícero Dantas;BA;;CEJUSC
CEJUSC COARACI (ANTIGO FÓRUM);E-MAIL;(73) 8137-7802;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45638-000;Rua 21 de Abril ;7;Centro;Coaraci;BA;;CEJUSC
CEJUSC CONCEIÇÃO DO COITÉ;E-MAIL;(75) 3262-6135;http://www5.tjba.jus.br/portal/;balcao.coite@gmail.com ;;48730-000;Rua Pedro Ferreira da Silva ;10;;Conceição Do Coité;BA;térreo;CEJUSC
CEJUSC CORRENTINA;E-MAIL;(77) 3488-2134 - 3488-3229;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;41610-525;Praça Monsenhor André Berenos ;S/N;Centro;Correntina;BA;;CEJUSC
CEJUSC CAMAMU;E-MAIL;;http://www5.tjba.jus.br/portal/;betinhasocial17@gmail.com;;45445-000;Praça Luiz de Souza ;;;Camamu;BA;salão polivalente;CEJUSC
CEJUSC CRUZ DAS ALMAS;E-MAIL;(75) 3312-7000;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;44380-000;Praça Manoel Caetano da Rocha Passos;208;Centro;Cruz Das Almas;BA;Faculdade Maria Milza;CEJUSC
CEJUSC EUCLIDES DA CUNHA (ANTIGA CASA DO JUIZ);E-MAIL;;http://www5.tjba.jus.br/portal/;;;;;;;Euclides Da Cunha ;BA;antiga Casa do Juiz;CEJUSC
CEJUSC EUNAPÓLIS;E-MAIL;(73) 3262-0734;http://www5.tjba.jus.br/portal/; conciliar@tjba.jus.br;;45820-330;Avenida Joana Angélica;265;Centro;Eunapólis;BA;sala 5;CEJUSC
CEJUSC FÁTIMA;E-MAIL;(75) 3658-2336;http://www5.tjba.jus.br/portal/;dra.gabrielaoliveira@gmail.com;;48415-000;Avenida Nossa Senhora de Fátima;;Centro;Fátima;BA;ao lado da casa do Padre;CEJUSC
CEJUSC GANDU – ANTIGO JUIZADO;E-MAIL;(73) 3254-1622 - 3254-1211 - 3254-1611;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;;Rua Maria Caribé;29;Centro;Gandu ;BA;Edf. Jacira;CEJUSC
CEJUSC GUANAMBI;E-MAIL;(77) 3451-8415;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;46430-970;Avenida Barão do Rio Branco;475;;Guanambi;BA;Fac. Guanambi;CEJUSC
CEJUSC HELIÓPOLIS;E-MAIL;(75) 3593-2211;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;48445-000;Praça Padre Mendonça ;S/N;;Heliópolis;BA;;CEJUSC
CEJUSC IBIPITANGA;E-MAIL;(77) 3674-2156 - 3674-2202;http://www5.tjba.jus.br/portal/;brbljibipitanga@gmail.com;;46540-970;Avenida Clériston Andrade ;S/N;Centro;Ibipitanga;BA;;CEJUSC
CEJUSC ITACARÉ;E-MAIL;;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45530-000;Praça Santos Dumont;60;;Itacaré;BA;;CEJUSC
CEJUSC ITAPARICA;E-MAIL;(71) 3631-4386;http://www5.tjba.jus.br/portal/; conciliar@tjba.jus.br;;44460-000;Estrada da Rodagem;S/N;Centro;Itaparica;BA;;CEJUSC
CEJUSC ITAPETINGA (ANTIGA CASA DO JUIZ);E-MAIL;(77) 3261-8360;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45700-000;Rua Itambé;80;Centro;Itapetinga ;BA;;CEJUSC
CEJUSC ITAMARAJU;E-MAIL;(73) 3294-3690;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45836-000;BR 101;Km 808;Santo Antônio do Monte;Itamaraju;BA;Facisa;CEJUSC
CEJUSC ITIRUÇU (ANTIGA CASA DO JUIZ);E-MAIL;;http://www5.tjba.jus.br/portal/;;;;Rua João Brandão  ;S/N;Centro;Itiruçu ;BA;;CEJUSC
CEJUSC JAGUAQUARA;E-MAIL;(74) 3534-1025 - 3534-3620;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45345-000;Rua Ministro Ilmar Galvão ;88;;Jaguaquara;BA;;CEJUSC
CEJUSC JUAZEIRO - SAC;E-MAIL;(73) 3554-3620;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;48909-901;Rodovia BR-407;5318;Distrito Industrial;Juazeiro ;BA;Juá Garden Shopping;CEJUSC
CEJUSC JEQUIÉ - SAC;E-MAIL;(73) 3526-7746;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45210-000;Avenida Otávio Mangabeira ;S/N;Mandacaru ;Jequié ;BA;;CEJUSC
CEJUSC LIVRAMENTO DE NOSSA SENHORA (ANTIGA CASA DO JUIZ);E-MAIL;(77) 3628-6344;http://www5.tjba.jus.br/portal/;npj@faahf.edu.br;;47850-000;Avenida Barreiras;S/N;Centro;Livramento De Nossa Senhora ;BA;Fac Amaldo Horácio Ferreira (FAAHF);CEJUSC
CEJUSC MACAÚBAS;E-MAIL;(77) 3473-1899;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;46500-000;Rua Castro Alves;100;Centro;Macaúbas;BA;FAMAC;CEJUSC
CEJUSC MATA DE SÃO JOÃO (ANTIGA CASA DO JUIZ);E-MAIL;(71) 3635-2652;http://www5.tjba.jus.br/portal/;;;48280-000;Rua J.J. Seabra ;185;;Mata De São João;BA;;CEJUSC
CEJUSC PARAMIRIM;E-MAIL;(75) 3279-2210 ;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;46190-000;Rua Reginaldo Marques Leão ;S/N;Centro;Paramirim;BA;;CEJUSC
CEJUSC PAULO AFONSO (FASETE);E-MAIL;(75) 3501-0798;http://www5.tjba.jus.br/portal/;bjc@fasete.edu.br;;48601-320;Rua José Hemetério de Carvalho;795;Centro;Paulo Afonso ;BA;;CEJUSC
CEJUSC PORTO SEGURO;E-MAIL;(73) 3540-1431;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45810-000; Rua 2 de Julho;212;Centro;Porto Seguro;BA;;CEJUSC
CEJUSC PRESIDENTE TANCREDO NEVES;E-MAIL;;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45416-000;Avenida Brasil;184;Centro;Presidente Tancredo Neves;BA;Instituto Direito e Cidadania - IDC;CEJUSC
CEJUSC RIBEIRA DO POMBAL;E-MAIL;(75) 9979-9615;http://www5.tjba.jus.br/portal/;bjcpombal@gmail.com;;48400-00;Avenida Evencia Brito ;S/N;Centro;Ribeira Do Pombal;BA;(Ao lado do Fórum -antiga Casa do Juiz );CEJUSC
CEJUSC SANTO ANTONIO DE JESUS;E-MAIL;(75) 3162-1300;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;44572-070;Avenida ACM;S/N;;Santo Antonio De Jesus;BA;CSU/FACEMP. Madre Maria do Rosário;CEJUSC
CEJUSC SÃO FRANCISCO DO CONDE;E-MAIL;(71) 3651-2063 - 3651-1455 - 3651-1467;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;43900-000;Rua Getúlio Vargas;29;;São Francisco Do Conde;BA;;CEJUSC
CEJUSC SÃO GONÇADO DOS CAMPOS;E-MAIL;;http://www5.tjba.jus.br/portal/;cejuscsg.25@gmail.com;;44330000;Avenida Hanibal Pedreira ;5;Centro;São Gonçado Dos Campos;BA;;CEJUSC
CEJUSC SEABRA;E-MAIL;(75) 3330-1561;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;46900-000;Avenida Franklin Queiroz;334;Centro;Seabra;BA;Sindicato dos Produtores Rurais de Seabra e região;CEJUSC
CEJUSC SENHOR DO BONFIM;E-MAIL;(74)3541-8397;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;48970-000;Rua Antônio Monteiro;S/N;Centro Social Urbano;Senhor Do Bonfim;BA;;CEJUSC
CEJUSC SERRA DOURADA;E-MAIL;(77) 3686-2079;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45400-000;Travessa Francisco Mariano;S/N;Centro;Serra Dourada;BA;;CEJUSC
CEJUSC VALENÇA;E-MAIL;(73) 3540-1431, ramal 32, (73) 98180-1889 e (75) 98869-4536;http://www5.tjba.jus.br/portal/;conciliar@tjba.jus.br;;45400-000;Praça Conselheiro Baltazar;28;Centro;Valença;BA;prédio dos Juizados Especiais;CEJUSC
CEJUSC VERA CRUZ;E-MAIL;;http://www5.tjba.jus.br/portal/;cejuscbjcveracruz@gmail.com;;47400-000; Rua São Bento;S/N;Mar Grande;Vera Cruz;BA;;CEJUSC
CEJUSC XIQUE-XIQUE;E-MAIL;(74) 3661-1644;http://www5.tjba.jus.br/portal/;;;47400-000;Praça Francolino José dos Santos;S/N;Centro;Xique-Xique;BA;(Forúm Cons. Luiz Viana);CEJUSC
CEJUSC FORTALEZA;E-MAIL;3661-1644;https://www.tjce.jus.br/;;;47400-000;Praça Francolino José dos Santos;S/N;Centro;Fortaleza;CE;(Forúm Cons. Luiz Viana);CEJUSC
CEJUSC CRATO;E-MAIL;(85) 3492-8030;https://www.tjce.jus.br/;cejusc.fortaleza@tjce.jus.br;;;Rua Desembargador Floriano Benevides Magalhães ;220;Edson de Queiroz;Crato;CE;;CEJUSC
CEJUSC JUAZEIRO DO NORTE;E-MAIL;(88) 3521-4241;https://www.tjce.jus.br/;cejusc.crato@tjce.jus.br;;63101-096;Avenida Perimetral Dom Francisco;S/N;Pinto Madeira;Juazeiro Do Norte;CE;;CEJUSC
CEJUSC SOBRAL;E-MAIL;(88) 3571-8980;https://www.tjce.jus.br/;cejusc.juazeirodonorte@tjce.jus.br;;63046-550;Rua Maria Marcionilia Pessoa Silva;800;JD Gonzaga;Sobral;CE;;CEJUSC
CEJUSC ACOPIARA;E-MAIL;(88) 3614-4232.;https://www.tjce.jus.br/;cejusc.sobral@tjce.jus.br;;62050-255;Avenida Mons. Aloísio Pinto;1300; Cid Gerardo Cristino;Acopiara;CE;;CEJUSC
CEJUSC AQUIRAZ;E-MAIL;(88) 3565-1159;https://www.tjce.jus.br/;cejusc.acopiara@tjce.jus.br;;63560-000;Rua Cícero Mandu;S/N;Centro;Aquiraz;CE;;CEJUSC
CEJUSC ARACATI;E-MAIL;(85) 3361-2099;https://www.tjce.jus.br/;cejusc.aquiraz@tjce.jus.br;;61700-000;Avenida Augusto Sá;S/N;Centro;Aracati;CE;;CEJUSC
CEJUSC BARBALHA;E-MAIL;(88) 3421-4548;https://www.tjce.jus.br/;cejusc.aracati@tjce.jus.br;;;TV. Felismino Filho;1079;Bairro de Fátima;Barbalha;CE;;CEJUSC
CEJUSC BATURITÉ;E-MAIL;(88) 3532-1794;https://www.tjce.jus.br/;cejusc.barbalha@tjce.jus.br;;63180-000;Rua Zuca Sampaio;S/N;Vila Santo Antônio;Baturité;CE;;CEJUSC
CEJUSC BEBERIBE;E-MAIL;(85) 3347-1115;https://www.tjce.jus.br/;cejusc.baturite@tjce.jus.br;;62760-000;PCA Valdemar Falcão;;;Beberibe;CE;;CEJUSC
CEJUSC BOA VIAGEM;E-MAIL;(88) 3338-1185;https://www.tjce.jus.br/;cejusc.beberibe@tjce.jus.br;;62840-000;Rua Joaquim Facó;244;Novo Planalto;Boa Viagem;CE;;CEJUSC
CEJUSC BREJO SANTO;E-MAIL;(88) 3427-1261;https://www.tjce.jus.br/;cejusc.boaviagem@tjce.jus.br;;63870-970;Rua Raimundo Pereira Batista;;Várzea do Canto;Brejo Santo;CE;;CEJUSC
CEJUSC CAMOCIM;E-MAIL; (88) 3531-1645;https://www.tjce.jus.br/;cejusc.brejosanto@tjce.jus.br;;63260-000;Rua Antônio Florentino;;Centro;Camocim;CE;;CEJUSC
CEJUSC CANINDÉ;E-MAIL;(88) 3621-1070;https://www.tjce.jus.br/;cejusc.camocim@tjce.jus.br;;62400-000;Rua 24 De Maio;S/N;Centro;Canindé;CE;;CEJUSC
CEJUSC CASCAVEL;E-MAIL;(85) 3334-2040;https://www.tjce.jus.br/;cejusc.cascavel@tjce.jus.br;;62850-000;Rua Prof. José Antônio Queiroz;1985;Centro;Cascavel;CE;;CEJUSC
CEJUSC CAUCAIA;E-MAIL;(85) 3368-8989;https://www.tjce.jus.br/;cejusc.caucaia@tjce.jus.br;;61600-050;Rua Eng. João Alfredo;S/N;Centro;Caucaia;CE;;CEJUSC
CEJUSC CRATEÚS;E-MAIL;(88) 3691.7040;https://www.tjce.jus.br/;cejusc.crateus@tjce.jus.br;;63700-000; Rua João Gomes de Freitas;S/N;Fátima II;Crateús;CE;;CEJUSC
CEJUSC EUSÉBIO;E-MAIL;;https://www.tjce.jus.br/;cejusc.eusebio@tjce.jus.br;;61760-000;Avenida Eusébio De Queiroz;S/N;Centro;Eusébio;CE;;CEJUSC
CEJUSC GRANJA;E-MAIL;;https://www.tjce.jus.br/;E-MAIL: cejusc.granja@tjce.jus.br;;62430-000;Rua Valdomiro Cavalcante;S/N;Centro;Granja;CE;;CEJUSC
CEJUSC HORIZONTE;E-MAIL;(85) 3336-1679;https://www.tjce.jus.br/;cejusc.horizonte@tjce.jus.br;;62880-000;Rua Francisco Eudes Ximenes;241;Centro;Horizonte;CE;;CEJUSC
CEJUSC ICÓ;E-MAIL;(88) 3561-2061;https://www.tjce.jus.br/;cejusc.ico@tjce.jus.br;;;V. Josefa Nogueira Monteiro;1760;Centro;Icó;CE;;CEJUSC
CEJUSC IGUATU;E-MAIL;(88) 3582-4619;https://www.tjce.jus.br/;cejusc.iguatu@tjce.jus.br;;63500-000; Rua Júlio Cavalcante;S/N;Bairro Bugi;Iguatu;CE;Anexo Ao Fórum Boanerges De Queiros Facó;CEJUSC
CEJUSC ITAITINGA;E-MAIL;(85) 3377-2107;https://www.tjce.jus.br/; cejusc.itaitinga@tjce.jus.br;;61880-000;Avenida Coronel Virgílio Távora;1206;Centro;Itaitinga;CE;;CEJUSC
CEJUSC ITAPIPOCA;E-MAIL;(88) 3631-3548;https://www.tjce.jus.br/;cejusc.itapipoca@tjce.jus.br;;;Avenida Esaú Alves Aguiar;2011;Bairro Fazendinha;Itapipoca;CE;;CEJUSC
CEJUSC ITAPAJÉ;E-MAIL;(85) 3346-1107;https://www.tjce.jus.br/;cejusc.itapaje@tjce.jus.br;;63640-000;Rua FR Vidal;0 AL1;Centro;Itapajé;CE;;CEJUSC
CEJUSC LIMOEIRO DO NORTE;E-MAIL;(88) 3423-1281;https://www.tjce.jus.br/;cejusc.limoeirodonorte@tjce.jus.br;;62930-000;Rua João Maria De Freitas;;João Vinte E Três;Limoeiro Do Norte;CE;;CEJUSC
CEJUSC MARANGUAPE;E-MAIL;(85) 3341-3464;https://www.tjce.jus.br/;cejusc.maranguape@tjce.jus.br;;61942-460; Rua Cap. Jeová Colares;S/N;Outra Banda;Maranguape;CE;;CEJUSC
CEJUSC MASSAPÊ;E-MAIL;(88) 3643-1172;https://www.tjce.jus.br/;cejusc.massape@tjce.jus.br;;62140-000;Rua Pref Beto Lira;S/N;Centro;Massapê;CE;;CEJUSC
CEJUSC MORADA NOVA;E-MAIL;(88) 3422-1806;https://www.tjce.jus.br/;cejusc.moradanova@tjce.jus.br;;62940-000;Avenida Manoel de Castro;680;Centro;Morada Nova;CE;;CEJUSC
CEJUSC NOVA RUSSAS;E-MAIL;(88) 3672-1042;https://www.tjce.jus.br/;cejusc.novarussas@tjce.jus.br;;62200-000;Rua Leonardo Araújo;S/N;Centro;Nova Russas;CE;;CEJUSC
CEJUSC PACAJUS;E-MAIL;(85) 3348-7378;https://www.tjce.jus.br/; cejusc.pacajus@tjce.jus.br;;; Avenida Lúcio José de Meneses;S/N;Bairro Croatá – II;Pacajus;CE;;CEJUSC
CEJUSC PACATUBA;E-MAIL;(85) 3345-1278;https://www.tjce.jus.br/;cejusc.pacatuba@tjce.jus.br;;61800-000; Rua PE Henrique Justa;S/N;Centro;Pacatuba;CE;;CEJUSC
CEJUSC QUIXADÁ;E-MAIL;(88) 3412-5227;https://www.tjce.jus.br/;cejusc.quixada@tjce.jus.br;;63900-162;Avenida Plácido Castelo;2028;Centro;Quixadá;CE;;CEJUSC
CEJUSC QUIXERAMOMBIM;E-MAIL;(88) 3441-1881;https://www.tjce.jus.br/;cejusc.quixeramobim@tjce.jus.br;;63800-000;Rua Dr Joaquim Fernandes;670;Centro;Quixeramombim;CE;;CEJUSC
CEJUSC RUSSAS;E-MAIL;(88) 3411-0325;https://www.tjce.jus.br/;cejusc.quixeramombim@tjce.jus.br;;;TV. João Nogueira da Costa;S/N;;Russas;CE;;CEJUSC
CEJUSC SANTA QUITÉRIA;E-MAIL;(88) 3628-2989;https://www.tjce.jus.br/;cejusc.santaquiteria@tjce.jus.br;;62280-000;Rua Eneida Maria Bezerra De Andrade;;;Santa Quitéria;CE;;CEJUSC
CEJUSC SENADOR POMPEU;E-MAIL;(88) 3449-1141.;https://www.tjce.jus.br/;cejusc.senadorpompeu@tjce.jus.br;;63600-000;Rua Abílio Gurgel;S/N;Centro;Senador Pompeu;CE;;CEJUSC
CEJUSC TIANGUÁ;E-MAIL;(88) 3671-1964;https://www.tjce.jus.br/;cejusc.tiangua@tjce.jus.br;;62320-000;Avenida Moisés Moita;S/N;Bairro Córrego;Tianguá;CE;;CEJUSC
CEJUSC TAUÁ;E-MAIL;(88) 3437.1883;https://www.tjce.jus.br/;cejusc.caucaia@tjce.jus.br;;;Avenida Abigail Cidrão de Oliveira;S/N;Colibris;Tauá;CE;;CEJUSC
CEJUSC MARACANAÚ;E-MAIL;(85) 3371-8599;https://www.tjce.jus.br/;cejusc.maracanau@tjce.jus.br;;61903-010;Avenida Estruturante Oeste;1;Centro;Maracanaú;CE;;CEJUSC
CEJUSC BRASÍLIA ;E-MAIL;(61) 3103-7206 (61)3103-7855 (61)3103-6129;https://www.tjdft.jus.br/;cejusc@tjdft.jus.br  / conciliar@tjdft.jus.br;;70094-900;Praça Municipal;Lote 1;;Brasília;DF;Fórum Desembargador Milton Sebastião Barbosa - Bloco A;CEJUSC
CEJUSC BOM JESUS DO NORTE;E-MAIL;(28) 3562-1222 / 1211 (28) 3562-2396;http://www.tjes.jus.br/;5cejusc-bjnorte@tjes.jus.br;;29460-000;Rua Carlos Firmo;119;Centro;Bom Jesus Do Norte;ES; Fórum Desembargador Vicente Caetano;CEJUSC
CEJUSC CACHOEIRO DE ITAPEMIRIM;E-MAIL;(28) 3526-5865;http://www.tjes.jus.br/;6cejusc-cachoeiro@tjes.jus.br;;29306-500;Avenida Monte Castelo;S/N;Independência;Cachoeiro De Itapemirim;ES;Fórum Desembargador Horta Araújo;CEJUSC
CEJUSC CARIACICA;E-MAIL;(27) 3246-5612;http://www.tjes.jus.br/;7cejusc-cariacica@tjes.jus.br;;29151-230;Rua São João Batista;1000;Alto Laje;Cariacica;ES;Fórum Doutor Américo Ribeiro Coelho;CEJUSC
CEJUSC COLATINA;E-MAIL;(27) 3721-5022 (ramal 232);http://www.tjes.jus.br/;2cejusc-colatina@tjes.jus.br;;29702-710;Praça Sol Poente;100;Esplanada;Colatina;ES;Fórum Juiz João Cláudio;CEJUSC
CEJUSC LINHARES;E-MAIL;(27) 3371-1876 (27)  3264-0340 (27) 3371-0967;http://www.tjes.jus.br/;9cejusc-linhares@tjes.jus.br;;29906-660;Rua Alair Garcia Duarte;S/N;Três Barras;Linhares;ES;Fórum Desembargador Mendes Wanderley;CEJUSC
CEJUSC SÃO MATEUS;E-MAIL;(27) 3763-8900 ;http://www.tjes.jus.br/;10cejusc-saomateus@tjes.jus.br;;29936-160;Avenida João Nardoto;140;Jakeline;São Mateus;ES;Forum Desembargador Santos Neves;CEJUSC
CEJUSC SERRA;E-MAIL;(27) 33574879;http://www.tjes.jus.br/;11cejusc-serra@tjes.jus.br;;29163-253;Avenida Carapebus;226;Bairro São Geraldo;Serra;ES; Fórum Desembargador José Antônio Miguel Feu Rosa - 1º andar;CEJUSC
CEJUSC VILA VELHA;E-MAIL;(27) 3149-2663;http://www.tjes.jus.br/;8cejusc-vvelha@tjes.jus.br;;29107-355;Rua Doutor Annor da Silva;191;Boa Vista II;Vila Velha;ES;Fórum Desembargador Afonso Cláudio;CEJUSC
CEJUSC AGUAS DE LINDÓIA;E-MAIL;(61) 3618-317;https://www.tjgo.jus.br/;cejusc.aguaslindas@tjgo.jus.br;;72910-000;Lote 1, quadra 25;S/N;Jardim Querência;Águas De Lindóia ;GO;FÓRUM DA COMARCA DE ÁGUAS LINDAS DE GOIÁS;CEJUSC
CEJUSC ALEXANIA;E-MAIL;(62) 3336-1372;https://www.tjgo.jus.br/;;;72920-000;Avenida Brg. Eduardo Gomes ;S/N;Centro;Alexania;GO;Edificio do Forúm - Rua 122;CEJUSC
CEJUSC ANÁPOLIS;E-MAIL;(62) 3099-8111;https://www.tjgo.jus.br/;2cjscc.anapolis@tjgo.jus.br;;;Avenida Universitária;683;Centro;Anápolis;GO;Faculdade Anhanguera de Anápolis;CEJUSC
CEJUSC ANICUNS;E-MAIL;(64) 3564-1499;https://www.tjgo.jus.br/;cejuscc.anicuns@tjgo.jus.br ;;76170-000;Avenida Bandeirantes;1.140;Setor Roosevelt;Anicuns;GO;;CEJUSC
CEJUSC ARAGARÇAS;E-MAIL;(64) 3638-1300/2004;https://www.tjgo.jus.br/;;;76240-000;Rua Angelina Martins da Silva;70;;Aragarças;GO;FÓRUM DA COMARCA DE ARAGARÇAS;CEJUSC
CEJUSC BELA VISTA E GOIÁS;E-MAIL;(62) 3551-1775;https://www.tjgo.jus.br/;comarcadebelavista@tjgo.jus.br ;;75240-000;Rua R Seis;170-266;;Bela Vista E Goiáis;GO;;CEJUSC
CEJUSC BURITI ALEGRE;E-MAIL;(64) 3444-2400;https://www.tjgo.jus.br/;;;75660-000;Rua Mato Grosso;S/N;Setor Caladia;Buriti Alegre;GO;;CEJUSC
CEJUSC BALÇAS;E-MAIL;(99) 3541-5254 /  (99) 3541-4153;https://www.tjma.jus.br/;1cejusc-bal@tjma.jus.br /conciliar@tjma.jus.br;;65800-000;BR 230;Km 5;;Balças;MA; Fazenda Malidere IV. Balsas;CEJUSC
CEJUSC MARACAÇUMÉ;E-MAIL;(98) 3373-1528;https://www.tjma.jus.br/;1cejusc-mar@tjma.jus.br;;65500-000;Rua Bom Jesus;S/N;Centro;Maracaçumé;MA;;CEJUSC
CEJUSC PAÇO DO LUMIAR – IESF;E-MAIL;(98) 3237-0769;https://www.tjma.jus.br/;1cejusc-par@tjma.jus.br;;65130-000;Avenida 14;18A;Maiobão;Paço Do Lumiar ;MA;;CEJUSC
CEJUSC ÁGUA BOA;E-MAIL;(66) 3468-1694 – ramal 23300;http://www.tjmt.jus.br/;centro.aguaboa@tjmt.jus.br;;78635-000;Avenida Júlio José Campos;390;;Água Boa;MT;Fórum da Comarca de Água Boa;CEJUSC
